Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,mood_happy,mood_sad,mood_energetic,mood_relaxing,mood_nostalgic,mood_romantic,mood_angry,mood_confident,mood_workout,mood_party,mood_study,is_happy,is_sad,is_energetic,is_relaxing,is_nostalgic,is_romantic,is_angry,is_confident,is_workout,is_party,is_study,primary_mood,top_moods,cluster
86986,1vtHa69RQqnroGsWQuyp05,The Jansen,Banal Semakin Binal,Ku Bukan Mesin Lotremu,37,212928,False,0.3,0.966,0,-7.297,1,0.038,1.08e-05,0.35,0.0632,0.712,152.771,4,punk,0.7803519639110826,0.2058251718161654,0.8434064831752217,0.058215045961258,0.3460330862468977,0.3558049029115978,0.6267222778749242,0.8506094228593944,0.825653689687217,0.6193016175709729,0.3964891052859038,1,0,1,0,0,0,0,1,1,0,0,confident,"['confident', 'energetic', 'workout']",0
63721,75GQIYnRaBg7ndHxhfYuQy,Raspberries,Raspberries,Go All The Way,62,205346,False,0.305,0.849,9,-4.892,1,0.0999,0.548,0.000134,0.0995,0.555,134.287,4,j-rock,0.6457837924852198,0.4371702655570864,0.7509494801778805,0.3220476450463097,0.7334474660831193,0.619497760275484,0.6552583052365294,0.7116101727227667,0.735611873205534,0.5514454047684557,0.5278954943541626,0,0,1,0,1,0,0,1,1,0,0,energetic,"['energetic', 'workout', 'nostalgic']",3
72705,33e1WHeVhWD187md4hIHdW,Wildways,Картины счастливого мира,Мечты хрустальные,32,238050,False,0.259,0.911,7,-4.12,1,0.0587,6.77e-05,0.0,0.152,0.177,199.977,4,metalcore,0.4229954665715084,0.5044271544734525,0.8691672335963888,0.0687179704206443,0.1786072510085666,0.1654395046679036,0.85855023773166,0.5508038789542584,0.8815264891769515,0.4660108045636214,0.2827611919241207,0,0,1,0,0,0,1,0,1,0,0,workout,"['workout', 'energetic', 'angry']",2
30048,5so1wKv1JCcpllBGxrOjjL,David Guetta;Sam Martin,EDM Hits,Dangerous - David Guetta Banging Remix,0,367786,False,0.698,0.931,11,-4.32,0,0.0595,0.0237,0.852,0.0767,0.0825,128.004,4,edm,0.4163158723701202,0.6315945309962336,0.881166215605517,0.0709993483402338,0.2318865083182448,0.0929012178343788,0.9097649883009452,0.5128785856814226,0.8565159446112459,0.6880870747719613,0.6122119052876518,0,0,1,0,0,0,1,0,1,0,0,angry,"['angry', 'energetic', 'workout']",2
12161,5WLWoeTPvgd8IWKKp3viXs,my little airport,寂寞的星期五,牛頭角青年,33,159648,False,0.528,0.503,9,-9.457,1,0.0305,0.0332,0.111,0.105,0.469,129.079,4,cantopop,0.5073076858906739,0.3874778275491184,0.5964422653458713,0.2694207310699286,0.5535967748069043,0.604601115292611,0.5186313307516979,0.492868672233449,0.6154050968591925,0.5430972520351456,0.5815411854484924,0,0,0,0,0,0,0,0,0,0,0,workout,"['workout', 'romantic', 'energetic']",3
60055,6IBF2iAunnqd9vVx2FtgW5,FlowBack,Fireworks,Fireworks,39,187500,False,0.487,0.811,6,-5.359,1,0.0686,0.0968,0.0,0.0527,0.425,169.995,4,j-dance,0.5715436912582803,0.3934528945293394,0.8223294156631556,0.154042926275933,0.474318367190412,0.4242727461941682,0.6952495396753224,0.6262985981367802,0.8307116975846506,0.6094971513707816,0.3788019072508068,0,0,1,0,0,0,0,0,1,0,0,workout,"['workout', 'energetic', 'angry']",2
83363,2a2Yb7fc67EzRUVpYTUyZq,Lane 8;Elderbrook,Grapevine,Grapevine,60,381463,False,0.575,0.754,1,-10.585,0,0.0342,0.293,0.634,0.284,0.105,122.989,4,progressive-house,0.3621625883417705,0.6785468230280228,0.7433422254110311,0.277715014771892,0.3702020197793586,0.2771629078043449,0.7931631761204838,0.4347834928381694,0.7335468422597716,0.5706039438827322,0.6391529641692066,0,0,1,0,0,0,1,0,1,0,0,angry,"['angry', 'energetic', 'workout']",2
18418,0TfwqherANa1HRrmlPiskE,Mike DeStefano,OK Karma,Fighting Terrorism,23,87132,True,0.665,0.661,5,-8.805,1,0.939,0.648,0.0,0.8,0.372,74.751,4,comedy,0.5102393708376829,0.625862188834253,0.6423405975429245,0.4548300290115297,0.7016230463487357,0.6157164523033052,0.6370271676507272,0.523478349283817,0.6174445654832472,0.6462214335638886,0.4196917013767657,0,0,0,0,1,0,0,0,0,0,0,nostalgic,"['nostalgic', 'party', 'energetic']",3
48924,31mSJLJ2UptaxPj2uCi88A,Stick To Your Guns,Comes From the Heart,Enough is Enough,29,237973,False,0.284,0.947,0,-3.69,0,0.162,0.00125,8.16e-05,0.335,0.274,174.998,4,hardcore,0.4977724537716951,0.4647361519514124,0.8602808720600962,0.0528499907729292,0.3015305833250487,0.2163444498570538,0.8325136755517041,0.6183271692022217,0.8560161384470594,0.5115037091369795,0.2293718597483279,0,0,1,0,0,0,1,0,1,0,0,energetic,"['energetic', 'workout', 'angry']",2
35254,5r4Cu9gsoXtY3CQOixJHPu,Max e Luan,Até Que o Dia nos Separe,Até Que o Dia nos Separe,44,155713,False,0.707,0.741,11,-2.989,0,0.148,0.387,0.0,0.287,0.82,159.924,4,forro,0.8208949115532658,0.2128788970999463,0.8191684733825536,0.2929024320113267,0.4044781051562615,0.5035774885401384,0.4937564083484131,0.7917006647093963,0.8308507391420302,0.789479998984243,0.5130417144828998,1,0,1,0,0,0,0,1,1,1,0,workout,"['workout', 'happy', 'energetic']",0
